Ticker,Weight,Growth,Volatility
MMM,73992486912,4.849755100368166,0.049557903871268585
AOS,12608299008,10.98985444302285,0.07858534419726383
ABT,199444742144,-1.545995917752991,0.052806914328577655
ABBV,340921253888,-1.7360776366448967,0.050333294309591325
ACN,225597882368,5.432844988987029,0.102935035412671
ADBE,218444840960,-12.922021130322076,0.13587524101690704
AMD,279673339904,25.081440959915387,0.12610176534173276
AES,12903270400,12.037029405898606,0.14173307376736444
AFL,62986121216,2.806215404026298,0.0627759712583936
A,41550503936,4.721561623122375,0.08413543983716876
APD,68997365760,13.34452452339551,0.1256062673191679
ABNB,83796041728,13.870745363516782,0.10120153203685871
AKAM,15354129408,6.584624125723305,0.061350005743179864
ALB,11783859200,27.8663403311124,0.25032234226404587
ARE,19906578432,-3.7632109498876845,0.06309994038169786
ALGN,17483603968,5.727704578601578,0.13355931985303574
ALLE,12664940544,8.026161747702904,0.04970752800659289
LNT,15284835328,0.5738399199795623,0.04207297705620819
ALL,48285175808,-2.313035203869081,0.0744338708112255
GOOGL,2030947794944,10.537285630748402,0.05806724558244887
GOOG,2030819213312,10.806476118524696,0.05634083841101192
MO,84543201280,-8.46111535318719,0.050298174485372014
AMZN,1917755981824,4.173322450933944,0.08302741468353714
AMCR,16014367744,-0.18018429798489485,0.05842243797991933
AMTM,6021724672,-16.130126031727915,0.6207070700314861
AEE,23146373120,2.553497760516912,0.05053265979138002
AEP,52254183424,-5.267226047632267,0.04617832852154235
AXP,191313510400,7.24931743797073,0.08161720260071924
AIG,48058060800,2.4855775421300885,0.08207398996475916
AMT,104757149696,-5.974091339842334,0.05938214199091773
AWK,26772228096,-5.903702103614507,0.06606425282648276
AMP,47497801728,10.860543936744444,0.05043086622261477
AME,38647988224,1.5946409424972128,0.04434418242952513
AMGN,170698686464,-2.528234048990112,0.07991214387780932
APH,77471981568,5.9278813040573795,0.07951195928743851
ADI,113895489536,4.959734836648015,0.10229073362905004
ANSS,28039737344,3.6067105165915305,0.07938893012680834
AON,76897148928,0.9928988225886332,0.050048080436207766
APA,9713704960,5.377207658448663,0.1546450317803511
AAPL,3432629665792,2.1999911863589148,0.08657788332218289
AMAT,165606277120,13.139961379923903,0.13610628204952177
APTV,16353215488,0.7527455548396402,0.12006379537727445
ACGL,41332535296,-1.6289265552154621,0.0984127660202351
ADM,27517073408,-3.2773122066209295,0.0862564535272629
ANET,125730308096,23.231830144211703,0.09441790705965512
AJG,64231358464,-1.9334979367405951,0.07645788346121218
